col_A,col_B,col_C
zur Inhaltsübersicht,,
"Deutschlandatlas_GEM1224_b: Indikatoren auf Gemeindeebene, Gebietsstand zum 31.12.2024 ",,
GKZ1224,Gemeindename,"Indikatorkürzel: bev_dicht

Einwohner/-innen je km² im Jahr 2024"
1054110,Rodenäs,20.01
1054113,Sankt Peter-Ording,131.36
1054116,Schwabstedt,69.3
1054118,Schwesing,58.09
1054119,Seeth,148.04
1054120,Simonsberg,46.62
1054121,Sönnebüll,75.06
1054123,Sollwitt,27.03
1054124,Sprakebüll,25.95
1054125,Stadum,47.47
1054126,Stedesand,57.87
1054128,Struckum,115.7
1054129,Süderende,67.57
1054130,Süderhöft,6.92
1054131,Süderlügum,86.8
1054132,Südermarsch,4.8
1054134,Tating,32.72
1054135,Tetenbüll,16.23
1054136,Tinningstedt,26.37
1054138,"Tönning, Stadt",108.35
1054140,Tümlauer Koog,15.81
1054141,Uelvesbüll,28.15
1054142,Uphusum,49.58
1054143,Utersum,76.81
1054144,Viöl,124.26
1054145,Vollerwiek,45.24
1054146,Vollstedt,31.23
1054148,Welt,22.8
1054149,Wenningstedt-Braderup (Sylt),228.25
1054150,Westerhever,6.68
1054152,Wester-Ohrstedt,59.6
1054154,Westre,18.29
1054156,Winnert,38.03
1054157,Wisch,33.77
1054158,Witsum,28.3
1054159,Wittbek,39.93
1054160,Wittdün auf Amrum,281.23
1054161,Witzwort,37.06
1054162,Wobbenbüll,280.47
1054163,Wrixum,76.85
1054164,"Wyk auf Föhr, Stadt",509.03
1054165,Galmsbüll,11.31
1054166,Emmelsbüll-Horsbüll,24.83
1054167,Enge-Sande,47.86
1054168,Sylt,247.2
1055001,Ahrensbök,84.85
1055002,Altenkrempe,29.72
1055004,"Bad Schwartau, Stadt",1085.05
1055006,Beschendorf,66.39
1055007,Bosau,52.5
1055010,Dahme,131.17
1055011,Damlos,66.34
1055012,"Eutin, Stadt",417.47
1055014,Göhl,52.02
1055015,Gremersdorf,35.07
1055016,Grömitz,133.33
1055017,Großenbrode,104.91
1055018,Grube,55.62
1055020,Harmsdorf,39.45
1055021,"Heiligenhafen, Stadt",517.69
1055022,Heringsdorf,39.26
1055023,Kabelhorst,69.95
1055024,Kasseedorf,40.89
1055025,Kellenhusen (Ostsee),146.14
1055027,Lensahn,182.89
1055028,Malente,157.2
1055029,Manhagen,39.04
1055031,Neukirchen,40.56
1055032,"Neustadt in Holstein, Stadt",807.4
1055033,"Oldenburg in Holstein, Stadt",244.67
1055035,Ratekau,260.43
1055036,Riepsdorf,37.12
1055037,Schashagen,47.35
1055038,Schönwalde am Bungsberg,62.65
1055039,Sierksdorf,74.97
1055040,Stockelsdorf,287.28
1055041,Süsel,66.12
1055042,Timmendorfer Strand,413.31
1055043,Wangels,32.63
1055044,Scharbeutz,222.57
1055046,"Fehmarn, Stadt",71.16
1056001,Appen,237.49
1056002,"Barmstedt, Stadt",609.78
1056003,Bevern,76.62
1056004,Bilsen,132.58
1056005,Bönningstedt,378.34
1056006,Bokel,34.64
1056008,Bokholt-Hanredder,157.01
1056009,Borstel-Hohenraden,163.44
1056010,Brande-Hörnerkirchen,133.49
1056011,Bullenkuhlen,102.04
1056013,Ellerbek,478.16
1056014,Ellerhoop,141.43
1056015,"Elmshorn, Stadt",2403.65
1056016,Groß Nordende,141.13
1056017,Groß Offenseth-Aspern,45.83
1056018,Halstenbek,1437.36
1056019,Haselau,60.19
1056020,Haseldorf,101.99
1056021,Hasloh,360.43
1056022,Heede,54.59
1056023,Heidgraben,533.83
1056024,Heist,298.49
1056025,Helgoland,315.68
1056026,Hemdingen,109.14
1056027,Hetlingen,60.17
1056028,Holm,204.3
1056029,Klein Nordende,315.76
1056030,Klein Offenseth-Sparrieshoop,182.51
1056031,Kölln-Reisiek,499.56
1056032,Kummerfeld,367.08
1056033,Seester,88.5
1056034,Langeln,57.98
1056035,Lutzhorn,37.15
1056036,Moorrege,432.16
1056037,Neuendeich,60.19
1056038,Osterhorn,64.26
1056039,"Pinneberg, Stadt",2082.87
1056040,Prisdorf,439.2
1056041,"Quickborn, Stadt",521.8
1056042,Raa-Besenbek,44.26
1056043,Rellingen,1140.06
1056044,"Schenefeld, Stadt",1992.89
1056045,Seestermühe,40.88
1056046,Seeth-Ekholt,149.64
1056047,Tangstedt,183.63
1056048,"Tornesch, Stadt",707.81
1056049,"Uetersen, Stadt",1647.16
1056050,"Wedel, Stadt",1032.59
1056051,Westerhorn,137.03
1057001,Ascheberg (Holstein),152.63
1057002,Barmissen,33.2
1057003,Barsbek,67.24
1057004,Behrensdorf (Ostsee),29.94
1057005,Belau,24.71
1057006,Bendfeld,48.3
1057007,Blekendorf,44.3
1057008,Bönebüttel,102.16
1057009,Bösdorf,59.08
1057010,Boksee,83.51
1057011,Bothkamp,18.01
1057012,Brodersdorf,115.7
1057013,Dannau,61.73
1057015,Dersau,130.53
1057016,Dobersdorf,51.21
1057017,Dörnick,60.23
1057018,Fahren,35
1057020,Fiefbergen,87.24
1057021,Giekau,28.71
1057022,Grebin,39.73
1057023,Großbarkau,88.05
1057024,Großharrie,38.04
1057025,Heikendorf,568.75
1057026,Helmstorf,23.49
1057027,Högsdorf,37.05
1057028,Höhndorf,84.55
1057029,Hohenfelde,98.48
1057030,Hohwacht (Ostsee),89.83
1057031,Honigsee,39.22
1057032,Kalübbe,47.71
1057033,Kirchbarkau,380.09
1057034,Kirchnüchel,18.43
1057035,Klamp,60.08
1057037,Klein Barkau,63.48
1057038,Kletkamp,9.29
1057039,Köhn,55.74
1057040,Krokau,90.34
1057041,Krummbek,71.53
1057042,Kühren,34.21
1057043,Laboe,1060.42
1057044,Lammershagen,9.64
1057045,Lebrade,29.69
1057046,Lehmkuhlen,40.63
1057047,Löptin,30.87
1057048,"Lütjenburg, Stadt",881.95
1057049,Lutterbek,93.81
1057050,Martensrade,48.57
1057051,Mönkeberg,1447.84
1057052,Mucheln,40.69
1057053,Nehmten,13.35
1057054,Nettelsee,68.32
1057055,Panker,64.52
1057056,Passade,82.41
1057057,"Plön, Stadt",245.8
1057058,Pohnsdorf,15.56
1057059,Postfeld,51.86
1057060,Prasdorf,96.86
1057062,"Preetz, Stadt",1146.04
1057063,Probsteierhagen,165.15
1057065,Rantzau,19.93
