OBJECTID,AGS,Gemeinde,Berichtszeitpunkt,Gemeindeschlüssel,Stadttyp,Pkw Elektro Anteil
44706,5316000,Leverkusen,2024.01,5316000,Großstadt,5.5
44707,5334002,Aachen,2024.01,5334002,Großstadt,7.0
44776,5378004,Bergisch Gladbach,2024.01,5378004,Großstadt,5.2
44803,5512000,Bottrop,2024.01,5512000,Großstadt,3.9
44804,5513000,Gelsenkirchen,2024.01,5513000,Großstadt,3.5
44834,3159016,Göttingen,2024.01,3159016,Großstadt,5.2
44858,3241001,Hannover,2024.01,3241001,Landeshauptstadt,5.6
44941,3254021,Hildesheim,2024.01,3254021,Großstadt,4.4
45005,5515000,Münster,2024.01,5515000,Großstadt,6.4
45042,5562032,Recklinghausen,2024.01,5562032,Großstadt,3.4
45081,5711000,Bielefeld,2024.01,5711000,Großstadt,5.9
45083,5754008,Gütersloh,2024.01,5754008,Großstadt,5.5
45148,5774032,Paderborn,2024.01,5774032,Großstadt,6.1
45151,5911000,Bochum,2024.01,5911000,Großstadt,5.2
45152,5913000,Dortmund,2024.01,5913000,Großstadt,4.9
45153,5914000,Hagen,2024.01,5914000,Großstadt,3.7
45154,5915000,Hamm,2024.01,5915000,Großstadt,3.9
45155,5916000,Herne,2024.01,5916000,Großstadt,3.1
45208,5970040,Siegen,2024.01,5970040,Großstadt,5.3
45234,6411000,Darmstadt,2024.01,6411000,Großstadt,6.6
45235,6412000,Frankfurt am Main,2024.01,6412000,Großstadt,8.7
45236,6413000,Offenbach am Main,2024.01,6413000,Großstadt,5.1
45237,6414000,Wiesbaden,2024.01,6414000,Landeshauptstadt,18.6
45323,6435014,Hanau,2024.01,6435014,Großstadt,4.4
45655,7111000,Koblenz,2024.01,7111000,Großstadt,6.1
45919,6611000,Kassel,2024.01,6611000,Großstadt,5.8
47120,7312000,Kaiserslautern,2024.01,7312000,Großstadt,5.3
47122,7314000,Ludwigshafen am Rhein,2024.01,7314000,Großstadt,4.6
47123,7315000,Mainz,2024.01,7315000,Landeshauptstadt,5.2
47366,7211000,Trier,2024.01,7211000,Großstadt,5.6
48154,8111000,Stuttgart,2024.01,8111000,Landeshauptstadt,10.2
48333,8121000,Heilbronn,2024.01,8121000,Großstadt,5.0
48498,8212000,Karlsruhe,2024.01,8212000,Großstadt,6.5
48554,8221000,Heidelberg,2024.01,8221000,Großstadt,5.9
48555,8222000,Mannheim,2024.01,8222000,Großstadt,5.7
48837,8231000,Pforzheim,2024.01,8231000,Großstadt,5.2
48907,8311000,Freiburg im Breisgau,2024.01,8311000,Großstadt,5.4
49014,8415061,Reutlingen,2024.01,8415061,Großstadt,5.5
49067,8421000,Ulm,2024.01,8421000,Großstadt,6.0
49255,9161000,Ingolstadt,2024.01,9161000,Großstadt,9.4
49256,9162000,München,2024.01,9162000,Landeshauptstadt,9.0
50214,9362000,Regensburg,2024.01,9362000,Großstadt,6.3
50571,9761000,Augsburg,2024.01,9761000,Großstadt,4.6
50665,9663000,Würzburg,2024.01,9663000,Großstadt,5.8
50854,9562000,Erlangen,2024.01,9562000,Großstadt,5.4
50855,9563000,Fürth,2024.01,9563000,Großstadt,4.4
50856,9564000,Nürnberg,2024.01,9564000,Großstadt,5.1
51777,13003000,Rostock,2024.01,13003000,Großstadt,3.1
51778,13004000,Schwerin,2024.01,13004000,Landeshauptstadt,3.1
51911,10041100,Saarbrücken,2024.01,10041100,Landeshauptstadt,4.9
51963,11000000,Berlin,2024.01,11000000,Landeshauptstadt,5.1
51967,12054000,Potsdam,2024.01,12054000,Landeshauptstadt,4.4
52258,14713000,Leipzig,2024.01,14713000,Großstadt,4.0
52320,15002000,Halle (Saale),2024.01,15002000,Großstadt,2.8
